datetime,option_type,atm_term_structure
2018-01-04,沽,0.0052280888909810455
2018-01-04,购,0.009463985204210566
2018-01-05,沽,0.006308459363234162
2018-01-05,购,0.01041431243565633
2018-01-08,沽,0.007024554533685845
2018-01-08,购,0.012023004741606882
2018-01-09,沽,0.010939633305524301
2018-01-09,购,0.011534998759050098
2018-01-10,沽,0.0056441380542322705
2018-01-10,购,0.012331816611686081
2018-01-11,沽,0.004923625069694848
2018-01-11,购,0.009762965827881998
2018-01-12,沽,0.005717814998534354
2018-01-12,购,0.014028907004374556
2018-01-15,沽,-0.001288046341244159
2018-01-15,购,0.006903281380075864
2018-01-16,沽,0.004136855806051129
2018-01-16,购,0.009927676210745015
2018-01-17,沽,0.00019050407861430919
2018-01-17,购,0.003967234323518509
2018-01-18,沽,0.007109966291489061
2018-01-18,购,0.011876124379148567
2018-01-19,沽,-0.012280978676614152
2018-01-19,购,0.00689794730161275
2018-01-22,沽,0.021487718073297996
2018-01-22,购,0.027240920599732793
2018-01-23,沽,-0.005445069107548361
2018-01-23,购,0.004947889177727938
2018-01-24,沽,-0.0036882225664387064
2018-01-24,购,0.041587497254357585
2018-01-25,沽,-0.0021093261634176548
2018-01-25,购,0.0004564214644291382
2018-01-26,沽,0.0028981908388364284
2018-01-26,购,0.003520189624298467
2018-01-29,沽,0.001315830283458085
2018-01-29,购,0.002389567203567866
2018-01-30,沽,0.0035188447359881386
2018-01-30,购,0.0025394169142258366
2018-01-31,沽,0.002772518225379652
2018-01-31,购,0.0032753666309483973
2018-02-01,沽,0.002094691228874568
2018-02-01,购,0.004878941287135378
2018-02-02,沽,0.0022537588409442706
2018-02-02,购,0.0030907513655869237
2018-02-05,沽,8.543112170476819e-05
2018-02-05,购,-0.0011549243641032104
2018-02-06,沽,-0.010827335874015737
2018-02-06,购,-0.0021726306468311573
2018-02-07,沽,-0.012131022782108087
2018-02-07,购,-0.012217693981321345
2018-02-08,沽,-0.017506448527270374
2018-02-08,购,-0.021316176578100293
2018-02-09,沽,-0.042417123296547704
2018-02-09,购,-0.026514160207509723
2018-02-12,沽,-0.029950728701748752
2018-02-12,购,-0.020833575710150598
2018-02-13,沽,-0.022651667017729766
2018-02-13,购,-0.014502019380486092
2018-02-14,沽,-0.01787330340980761
2018-02-14,购,-0.019101852056204693
2018-02-22,沽,-0.0007752885391355074
2018-02-22,购,0.007944085732679636
2018-02-23,沽,0.0074902934612070485
2018-02-23,购,0.011681770533795141
2018-02-26,沽,0.00308816295254207
2018-02-26,购,-0.003367128803557326
2018-02-27,沽,-0.0046053508927423005
2018-02-27,购,0.007116721829302337
2018-02-28,沽,0.024694401434085175
2018-02-28,购,-0.0048547359980658
2018-03-01,沽,-0.0023836032663586888
2018-03-01,购,-0.006309979400664837
2018-03-02,沽,-0.002926288855047405
2018-03-02,购,-0.007736376458270072
2018-03-05,沽,0.003084568065777462
